tweet,likes,retweet_count,state,state_code,ORIGIN,polarity,subjectivity
This was not Hacked Material #HunterBiden #censorship #JoeBiden #BigTechCoup https://t.co/gEU71l3WNJ,1.0,0.0,Texas,TX,biden_csv,,,
"#JoeBiden knows Mitt Romneys name  he knows it very well. #BurismaBiden",0.0,0.0,Arizona,AZ,biden_csv,,,
" Trump is just as worse if not more. #JoeBiden #BlueWave",1.0,0.0,Texas,TX,biden_csv,,,
Serious as 4 heart attacks &amp; a stroke &amp; you have to search to find the story. SMDH #biden https://t.co/LZ5XwbxKvK,0.0,0.0,Louisiana,LA,biden_csv,,,
I cant rap my head around why anyone would want #biden when he hasnt done anything productive in 47 years. I know Trump is extremely abrasive and never says the right thing but the country has prospered under him. 56% of Americans feel their life is better then 4 years ago. 1/2,0.0,0.0,Arizona,AZ,biden_csv,,,
" signal was the key showing Birisma American in #Ukraine as #JoeBiden where they when approached by political in #UkraineGovernment ever sent their lower-ranking threatening company officials the sound of who was backing them would shakeup in #AmericanPowerfulFast",0.0,0.0,Ohio,OH,biden_csv,,,
Banned Biden News: New York Post Ukrainian Hunter Biden Article https://t.co/qb2nTq3kLy. #biden #corruption #ukraine #hunter #supressednews,1.0,0.0,Utah,UT,biden_csv,,,
New York Post story reveals Vice President Biden was up to his ears in Ukraine due to Hunter Biden #BlackLivesMatter #Biden #VoteTrump,0.0,0.0,Texas,TX,biden_csv,,,
How has #JoeBiden managed to maintain his luxurious homes and lifestyle  on a Government salary?,0.0,0.0,Arizona,AZ,biden_csv,,,
"#Tucker has two homes worth 2.5 million each and a rental in DC at 20 000 monthly. #JoeBiden #JoeBidenKnew #JoeLied",8.0,6.0,Florida,FL,biden_csv,,,
I bet if you could get #JoeBiden to open up around a beer or two he would say he is owed the right to benefit his family thru #govt because of all his #public service. He gave up his life to help us so he can help them. #SwampThing,0.0,0.0,Missouri,MO,biden_csv,,,
" lol Your censorship and dishonesty are the issue  not the way you tried to justify it. Isnt there a limit on in-kind contributions to #Biden?",0.0,0.0,Louisiana,LA,biden_csv,,,
" Don’t worry This house will be tuning into #JoeBiden",0.0,0.0,Florida,FL,biden_csv,,,
"#America  don’t you agree? #JoeBiden is as #corrupt as #Obama. #tcot #ccot #MAGA #KAG #KAG2020 https://t.co/fQoHgLiRXg",0.0,0.0,Tennessee,TN,biden_csv,,,
JUST ANOTHER TRUMP LIE!! #JoeBiden did not push out a Ukrainian prosecutor for investigating his son  The Washington Post confirms #HunterBiden #Burisma https://t.co/spNDvBHOKh,1.0,0.0,Florida,FL,biden_csv,,,
Make America Great Again &amp; Build Back Better ? Hummm I wonder where #JoeBiden got his Idea from ? #BidenHarrisToSaveAmerica if he keeps stealing s Great Ideas https://t.co/FSQLbWWuY5,0.0,0.0,Montana,MT,biden_csv,,,
The cats out the bag #Comeonman #Biden #QuidProJoe # https://t.co/FvoP9fkJqC,0.0,0.0,Minnesota,MN,biden_csv,,,
Politico: #Biden Campaign ‘Would Not Rule Out Possibility’ Biden Met with Burisma Adviser Pozharskyi https://t.co/ICMsppSCOs,0.0,0.0,Pennsylvania,PA,biden_csv,,,
Just did a zoom canvassing training session for PA Democrats. 165 volunteers were on the call! Plz do not take this election for granted. we will need every single vote for #Biden! If you’re interested in volunteering in PA DM me! Im going to Philly this weekend to Knock 4 Joe!,7.0,1.0,New York,NY,biden_csv,,,
2 of the most powerful and largest social media cos.  #Facebook and #Twitter is censoring again. Why dont they want you to know the truth? Its because they are supporting #Biden for Pres &amp; want to hide Bidens corruption until after election. #Trump2020 https://t.co/AUISvg97e7,0.0,0.0,Texas,TX,biden_csv,,,
"Why was the Vice President of the United States in Ukraine firing a Ukrainian prosecutor? #JoeBiden #HunterBidenEmails We need answers. ",2.0,0.0,California,CA,biden_csv,,,
Quid Pro Quo Joe and his son Hunter #JoeBiden #HunterBiden #Ukraine https://t.co/OfJKjsouTK,0.0,0.0,California,CA,biden_csv,,,
Lets all use the If This Were The Trumps standard  shall we? #HunterBidenEmails #JoeBiden,3.0,0.0,South Carolina,SC,biden_csv,,,
The #Biden mafia needs to get rolled up.,0.0,0.0,New York,NY,biden_csv,,,
Hey #Twatter . . . are you properly documenting all of your #InKindContributions to the #DNC and #JoeBidens campaign? https://t.co/RvkrGSaLTV,0.0,0.0,Wyoming,WY,biden_csv,,,
" Getting #JoeBiden elected is their get out of jail free card. Why do you think the swamp is working overtime...to save all the asses",0.0,0.0,Tennessee,TN,biden_csv,,,
LMAO.... US ELECTION SECTION OF TWITTER! #HunterBiden Story with #JoeBiden &amp; corruption strangling missing. https://t.co/DndtrGwqEE,3.0,0.0,New Jersey,NJ,biden_csv,,,
"#twitter #censors #trump campaign to silence her re #joebiden son #hunterbiden n his #ukraine #crimes https://t.co/JamuhKPz7g",0.0,0.0,Ohio,OH,biden_csv,,,
BREAKING 2.5 M views in 2 days. #CIA #Whistleblower implicates #Biden #Obama #HillaryClinton in SEAL Team Six slaughter. #Benghazi #BenghaziBombshell #JohnBrennan #BenRhodes #Potus44 #OsamaBinLaden #ObamaBidengate #IRAN #obl https://t.co/ymt7pDlgnO,4.0,3.0,Ohio,OH,biden_csv,,,
"#RegulateBigTech #RegulateSiliconValley #Google #Twitter #Facebook End #AntiTrust #Exemption Break up the #BigTech #Monopolies #RedChina Owns #SiliconValley #RedChina Owns #Biden #HunterBidenChinaPayoff #BillionAndHalf #Burisma #Ukraine Corruption #BidenFamilyCorruption https://t.co/e1Q4uAFqov",0.0,0.0,California,CA,biden_csv,,,
"#Biden will cancel town hall",0.0,0.0,Indiana,IN,biden_csv,,,
Why didn’t Joe come out and have a press conference today? Confront the allegations and explain why they are untrue. People need answers. Something fishy here #Election2020 #Biden,0.0,0.0,Illinois,IL,biden_csv,,,
"#HunterBiden #JoeBiden https://t.co/hBSoa3dqh2",0.0,0.0,Texas,TX,biden_csv,,,
"#Twitter blocks the account of one of the largest newspapers in the U. S. They #censoring  covering up for #Bidens crookedness. #Trump2020 https://t.co/9QIe3ggJlS",2.0,0.0,Texas,TX,biden_csv,,,
" &amp; could you please speak out and shine a light on the Twitter &amp; Facebook election interfering censorship of the biden emails &amp; crackpipe photos. #HunterBidenEmails #HunterBiden #HuntersEmails #BurismaBiden #BurismaGate #JoeBiden",1.0,0.0,North Carolina,NC,biden_csv,,,
. on Thread Reader App – Thread Reader App Another great by Drew on the hypocrisy of blue check marks &amp; #MSM #NYPost #Vote #VoteGold #VoteRed #VoteBlue #HunterBiden #JoeBiden #SteeleDossier #Election2020 #WalkAway #HunterBidenEmails https://t.co/gBA2xDxpm1,1.0,0.0,Florida,FL,biden_csv,,,
Disqualified. Withdrawal from the race. #JoeBiden #HunterBiden #HunterBidenEmails #Biden #impeachment #Election2020 #Swamp #Ukraine #crackhead,1.0,0.0,Pennsylvania,PA,biden_csv,,,
Inside Hunter #Bidens murky history of business dealings in China https://t.co/gNDGtOTwz8,0.0,0.0,Florida,FL,biden_csv,,,
By the time the #JoeBiden Administration ends will be 71 years old too old to return to the Governorship his younger brother could run to take his place he will be 51 next year he could follow in his father’s and brother’s footsteps. https://t.co/ZCp7iOsJkJ,0.0,0.0,Georgia,GA,biden_csv,,,
Twitter wont let you post the NYPost link on it.. but I sure can give you my monologue on the #JoeBiden #HunterBiden email scandal. https://t.co/zSrejOUTGe Has Joe been lying the whole time?,607.0,382.0,Texas,TX,biden_csv,,,
It’s called censorship. Unacceptable. #Election2020 #Biden https://t.co/4aXMGD5tq7,0.0,0.0,Illinois,IL,biden_csv,,,
"#HunterBiden #Biden #JoeBidenIsSick #BigTechCoup #VoteRED2020RemoveEveryDemocrat #VOTE",0.0,0.0,Texas,TX,biden_csv,,,
"#JoeBidens homes. The sacrifices of Public Service. Even as a kid in high school Id been seduced by real estate  he wrote in his 2007 https://t.co/nwtqeWa0VX",1.0,2.0,Pennsylvania,PA,biden_csv,,,
"I went on a 2 hour drive on the back roads of Massachusetts this afternoon. And I didn’t see one Trump flag! We saw about 30 #BidenHarris flags &amp; signs. This made myself &amp; my 12 year old daughter happy! We even have a happy cheer we do as we pass the houses. Lol. #Biden ",0.0,0.0,Massachusetts,MA,biden_csv,,,
Heres the most detailed and best takedown yet of how the ⁦⁩ mishandled the #Biden kompromat that #Giuliani and #Bannon managed to dump into its pages. https://t.co/LrXg5iCn8U,13.0,13.0,Illinois,IL,biden_csv,,,
"#JoeBiden claimed he got the ouster. Biden said  youre not getting the billion dollars...Im leaving in six hours...if the prosecutor is not fired youre not getting the money. Well  son of a bitch  the prosecutor got fired. So...#JoeBidenIsALiar #HunterBiden https://t.co/BguV6JLehH",3.0,1.0,Arizona,AZ,biden_csv,,,
" NO! not when the father #JoeBiden the at the time and also currently running for is complicit with the macreant son.",0.0,0.0,Texas,TX,biden_csv,,,
" hi! What will you do about student loans? Please make them go away! Thanks! #President #vote #studentloans #BidenHarris #Biden2020 #JoeBiden #KamalaHarris https://t.co/Z1zkMJCMMY",0.0,0.0,New York,NY,biden_csv,,,
The WAR has begun and are now attempting to sensor and or influence the elections by blocking the truth! #HunterBiden #JoeBiden #Democrats #commies #censorship #QAnons https://t.co/B22u1jDqeA,2.0,2.0,Oregon,OR,biden_csv,,,
" I supported a #Biden presidential run before he officially announced. Will be highly upset if and his AG dont address judicial reform. #TheReidOut #AmyConeyBarrett https://t.co/tbqUGxW7LI",1.0,0.0,District of Columbia,DC,biden_csv,,,
Hey kids  share this! #BidenHarris #Biden #Harris #Biden2020 #BoycottNBC https://t.co/3QqNrGbYwR,0.0,0.0,Oregon,OR,biden_csv,,,
Can this get any wilder???? Me thinks yes... #HunterBidenEmails #JoeBiden #Trump https://t.co/EUAv5ggMSA,1.0,0.0,Indiana,IN,biden_csv,,,
" more viewers than #TrumpTownHall . The ratings shldb huge! The next few days will b filled w/coverage of them both. Will it chg any minds? Doubtful. Itll b inspiring 2 hear #Biden lay out plans 4 a better future.",2.0,0.0,Oklahoma,OK,biden_csv,,,
How does #Biden I have more hair now than he did 20 years ago?? #Tucker,0.0,0.0,Texas,TX,biden_csv,,,
"#Twitter is blocking certain #CDC data since they dont agree with it. Both #Facebook and Twitter are censoring the truth about #JoeBiden and the #BidenHarris ticket. Vote #Trump. Stand up for #America #Trump2020",0.0,0.0,Texas,TX,biden_csv,,,
watching the legacy media and big tech work in concert to push back and censor the #HunterBiden #JoeBiden #UkraineGate story it makes you realize the fact #Trump has a shot at this election is such a testament to independent media.,0.0,0.0,Georgia,GA,biden_csv,,,
" #biden landslide! You know it!",1.0,0.0,New Mexico,NM,biden_csv,,,
This is a lawsuit in the making! #BREAKING #JoeBiden #JoeBidenIsALiar https://t.co/gwGyFAhngJ,0.0,0.0,Florida,FL,biden_csv,,,
Hunter Biden’s alleged laptop: an explainer https://t.co/YUT4xRCGP8 #Trump #Russia #Giuliani #HunterBiden #Biden #TrumpDirtyTrick #NewsCorp #NYPost #RupertMurdoch #Murdoch #Rudy #Putin #Ukraine,1.0,0.0,New York,NY,biden_csv,,,
In kind donation to campaign thanks to #Burisma ? pic below him sleeping w smoke pipe in mouth #WalkAway donate to #Biden #EndPropaganda #factMatters https://t.co/w3GXVDf0Ud https://t.co/DU10skxFML,0.0,0.0,New York,NY,biden_csv,,,
"#joebiden #hunterbiden #maga #america https://t.co/SwFnOazJDa",0.0,0.0,California,CA,biden_csv,,,
"#Memes #this #Biden https://t.co/enKUzXobQg",0.0,0.0,Michigan,MI,biden_csv,,,
Joe Biden Has No Idea How Long Trump Has Been President: The Last Two T... https://t.co/rorM5T0O4Q via #Biden,0.0,0.0,Pennsylvania,PA,biden_csv,,,
" #Biden lied! https://t.co/ja9QTnemIh",0.0,0.0,California,CA,biden_csv,,,
"#vote #voteblue2020 #joebiden #kamalaharris #fucktrump https://t.co/2ZzKhE20f2",46.0,0.0,California,CA,biden_csv,,,
Un correo electrónico recién publicado lleva el escándalo de #Biden #Ucrania a un nuevo extremo. Leer más: https://t.co/AVFSINzHCg https://t.co/7NMdFqRUJu,2.0,3.0,Arizona,AZ,biden_csv,,,
Facts: #wednesday #ThursdayThoughts #Thursday #fridaymorning #Friday #Biden #Mitt #Romney ️https:// nypost. com / 2020 / 10 / 14 / email - reveals - how - hunter- biden- introduced- ukrainian - biz- man- to- dad https://t.co/YghYQ9nLra,0.0,0.0,Maryland,MD,biden_csv,,,
" The definitive Trump book! The author’s biting use of humor is like the proverbial ‘spoonful of sugar’ to ‘help the medicine go down.’ 1700 references. Please share. https://t.co/QPTNT01xi8 #Trump #trumpbook #biden #bidenharris2020",0.0,0.0,Ohio,OH,biden_csv,,,
" If they woukd do the same to Trump  and sycophants like Guiliani  Steven Miller  and other scum that #LiveToLie these #BasketOfIndictables get too much leway but glad to hear twitter are beginning to police some of these professional liars! #StarveTheLies #LyingIsLETHAL #Biden https://t.co/BIL6bmLk0k",17.0,8.0,Illinois,IL,biden_csv,,,
" #Biden lied! https://t.co/ypY8xeaDFv",0.0,0.0,California,CA,biden_csv,,,
"#JoeBiden #BlackLivesMatter #loveislove #nohumanbeingisillegal #scienceisreal #bekindtoall https://t.co/ATCxbRJs11",3.0,0.0,Florida,FL,biden_csv,,,
If you think any rapper who makes over 400 000 a year #pdiddy is #voting for #BidenHarris2020 #Biden you’re crazy yes they will #vote for #trump he better suits them,1.0,0.0,Ohio,OH,biden_csv,,,
" Toomey already announced he is not running Romney offers weak tea whenever it is not a real risk. If they love America they will endorse #JoeBiden and block #AmyConeyBarrett",2.0,1.0,Pennsylvania,PA,biden_csv,,,
So now #facebook is #censoring more like blocking the #joebiden son #hunterbiden dirty dealing #crimunal report coming out of the #ukraine,0.0,0.0,Ohio,OH,biden_csv,,,
" The fact that twitter has gone to such great lengths to censor this story so that nobody sees it makes me believe it even more. Twitter is prepared to do whatever they can in order to get Biden elected. #Biden #HunterBiden #TwitterCensorship #NewYorkPost",0.0,1.0,California,CA,biden_csv,,,
Let me get this straight... Hillary Clinton  who was going to break the glass ceiling and was 14 pts up on Trump in polls 1 week before election lost  but Biden  a gaff machine &amp; walking zombie is ahead &amp; will beat Trump &amp; become president? #MAGA2020 #Biden #TRUMPTRAIN https://t.co/AuD9dhx2Vm,0.0,0.0,Texas,TX,biden_csv,,,
" #WeThePeople will be heard on this story #HunterBiden #HunterBidenEmails #BidenHarris #Biden #BidenHarris2020 https://t.co/HgyU3FklEf",5.0,3.0,Ohio,OH,biden_csv,,,
" The definitive Trump book! The author’s biting use of humor is like the proverbial ‘spoonful of sugar’ to ‘help the medicine go down.’ 1700 references. Please share. https://t.co/QPTNT01xi8 #Trump #trumpbook #biden #bidenharris2020",0.0,0.0,Ohio,OH,biden_csv,,,
Barrett is a horrible choice  &amp; a slap in the face to RBG. If you love your country  vote him out Sing along for democracy Share  repost  retweet etc https://t.co/s59lGQfrzt... #VoteHimOut2020 #VoteHimOut #DonTheCon #COVIDIOT #COVID19 #Biden #WeDissent #BlockBarrett #WhatsAtStake,0.0,0.0,Florida,FL,biden_csv,,,
Biden Email LEAK Shows Evidence Joe Biden LIED About Ukraine Dealings  Democrats Are Freaking Out #biden #HunterBiden #HunterBidenEmails #censorship #Facebook #Twitter #SocialMedia https://t.co/WkDsGx6ms4,1.0,0.0,California,CA,biden_csv,,,
"#HunterBiden #JoeBiden #JoeBidenKamalaHarris2020 #Twitter #Facebook #NYPost #censorship #Election2020 Thanks for making Joe &amp; Hunter Biden MEMEs fun! Joe Biden does not have any public support either in person or in views (check it out) 2016 polls are back https://t.co/i9GmfsLMFw",4.0,3.0,Florida,FL,biden_csv,,,
So I’m reading that #HunterBiden put his dad #JoeBiden in contact with #Burisma. No more denial  #JoeBiden,1.0,0.0,Texas,TX,biden_csv,,,
" We don’t want #corrupt #JoeBiden as our President! No way he will flip us blue! #Trump2020LandslideVictory ️",0.0,0.0,Ohio,OH,biden_csv,,,
" If there was any sense at all this election would be fair its gone now. Because of democrat deception  MSM  &amp; now Big Tech censorship all trust has been erased. #NYPost #JoeBiden #HunterBiden",1.0,0.0,Kentucky,KY,biden_csv,,,
" #JoeBiden bragging about telling Ukraine that they had 6 hrs to fire the prosecutor who was investigating his son or as the Vice President of the USA hed withhold 1 Billion. Then he says well SOB they fired him. Then they all laughed. https://t.co/nF3TxaYrfC #HunterBiden",0.0,1.0,California,CA,biden_csv,,,
"#Facebook #Twitter #HunterBiden #JoeBiden #JoeBidenIsALiar https://t.co/ZqImTe2PXw",0.0,0.0,Pennsylvania,PA,biden_csv,,,
"#JoeBiden At minimum you were asked by your son to meet with a representative of a company your son was being paid a substantial monthly sum. Since you denied any knowledge of your sons activities  you lied to America.",1.0,0.0,California,CA,biden_csv,,,
"#JoeBiden-Somethings rotten in Delaware-",1.0,1.0,Florida,FL,biden_csv,,,
Ted Cruz: Twitter Censorship of Damaging Hunter Biden New York Post Story Obvious Attempt to Influence #Election #Twitter is on Team #Biden &amp; are doing damage control for him. Are they getting paid for it? https://t.co/ywR1f5nWKj,0.0,0.0,Oregon,OR,biden_csv,,,
ICYMI - #Trump Hits #Biden on Fracking in Appeal to Pennsylvania Voters - https://t.co/urqVLzXvU7? #naturalgas #energy #natgas #oil #oilandgas #fracking,1.0,1.0,California,CA,biden_csv,,,
" They were not ill just tested positive. Vote #JoeBiden",0.0,0.0,Texas,TX,biden_csv,,,
" What the part where #JoeBiden didn’t know anything",0.0,0.0,Louisiana,LA,biden_csv,,,
Hunter #Biden won a Nobel Peace Prize  Rs try to keep up.,0.0,0.0,Pennsylvania,PA,biden_csv,,,
Does the #HunterBiden #HunterBidenEmails #NYPost story taint the #JoeBiden #BidenHarris2020 campaign?,0.0,0.0,Nebraska,NE,biden_csv,,,
Hunter Biden facilitated communications between then VP #JoeBiden and Vadym Pozharskyi? Seriously? Oh Joe say it aint so! Say it aint so  Joe! https://t.co/dgOBGAy0Rt,0.0,0.0,California,CA,biden_csv,,,
Hey . WE have been waiting for your statement regarding the damning information about #JoeBiden and his son #HunterBiden YOUR silence is deafening. . . . . .,1.0,0.0,Nevada,NV,biden_csv,,,
" Great again ? When your gone trust me it will be. #Biden #ByeDon https://t.co/10GDfc1NxC",3.0,0.0,Arizona,AZ,biden_csv,,,
Social Security  Medicare and the Election - Where Do Trump and Biden Stand? Do you know the differences and similarities in their plans for these programs? Get the facts: Link: https://t.co/yHqo5mkVr8 #SocialSecurity #Medicare #Election2020 #Trump #Biden https://t.co/kdafKK9bqL,1.0,1.0,California,CA,biden_csv,,,
" Wrong. Wrong. #JoeBiden cannot  and won’t  dance to #Trump’s dipping and sashaying",0.0,0.0,Virginia,VA,biden_csv,,,
Look at Twitter re: #HunterBiden &amp; #JoeBiden . A disgrace! https://t.co/j6yYoShtAO,4.0,1.0,Georgia,GA,biden_csv,,,
" is afraid to face #JoeBiden for he is incapable of dealing with facts and real questions from an audience. #NBC should not give him any airtime. https://t.co/8grNOJ8sVA",0.0,0.0,California,CA,biden_csv,,,
"#ARMENIA #ARTSAKH #DEFENDARMENIA #ARMENIASTRONG #ARTSAKHSTRONG #STOPERDOGAN #STOPTURKEY #SANCTIONERDOGAN #SANCTIONTURKEY #STOPALIYEV #STOPAZERBAIJAN #SANCTIONALIYEV #SANCTIONAZERBAIJAN #STOPAZERIAGGRESSION #DUXOV #հաղթելուենք #հայաստան #Turkey #Azerbaijan #USA #Trump #Biden https://t.co/ucQ5l74UOu",1.0,0.0,California,CA,biden_csv,,,
Its a big club  and Hunter Biden is definitely in it https://t.co/Ow5icG1N5J #HunterBiden Ice Cube Barron #JoeBiden Twitter and Facebook Parler,0.0,0.0,California,CA,biden_csv,,,
"Artists for #JoeBiden Uncle Kracker - Drift Away (Official Video) https://t.co/TllKse8muN via ",1.0,0.0,District of Columbia,DC,biden_csv,,,
